Manuel,Neri,American,(b. 1930),Posturing Series No. 7,1978,Plaster; wire,Purchase; 79.1450,------------,1
Unknown,------------,China,------------,Jar with lid,10th-13th century; Song Dynasty,Glazed stoneware,Gift of Warren and Shirley King- 2012.12.35,------------,1
Unknown,------------,China,------------,Bowl,10th-13th century; Song Dynasty,Qingbai Ware (glazed porcelain),Gift of Warren and Shirley King- 2012.12.32,------------,1
Unknown,------------,China,------------,Bottle,12th-13th century CE; Northern Song Dynasty | Jin Dynasty,Glazed stoneware,Gift of Warren and Shirley King- 2012.12.327,------------,1
Unknown,------------,China,------------,Bowl,Third-Fifth century CE; Western Jin Dynasty | Jin Dynasty,Yue ware (celadon glazed ceramic),Gift of Warren and Shirley King- 2012.12.175,------------,1
Unknown,------------,China,------------,Attendant,Seventh-eighth century CE; Tang Dynasty,Glazed earthenware,Gift of Warren and Shirley King- 2012.12.46,------------,1
Unknown,------------,Roman Empire,------------,Bottle,Third-Fourth century CE,Glass,Gift of H. Medil Sarkisain and Mrs. Justine Sarkisian Rodriguez- 2008.18.02.16,------------,1
Unknown,------------,Eastern Mediterranean,------------,Ribbed bowl,First century BCE-First century CE,Glass,Gift of H. Medil Sarkisain and Mrs. Justine Sarkisian Rodriguez- 2008.18.02.03,------------,1
Unknown,------------,Roman Empire,------------,Flask,Fourth century CE,Glass,Gift of H. Medil Sarkisain and Mrs. Justine Sarkisian Rodriguez- 2008.18.02.17,------------,1
Unknown,------------,Roman Empire,------------,Flask,First century CE ,Glass,Gift of H. Medil Sarkisain and Mrs. Justine Sarkisian Rodriguez- 2008.18.02.06,------------,1
Unknown,------------,Roman Empire,------------,Sprinkler,Third century CE,Glass,Gift of H. Medil Sarkisain and Mrs. Justine Sarkisian Rodriguez- 2008.18.02.13,------------,1
Unknown,------------,Roman Empire,------------,Shallow pillar-molded bowl,First century CE ,Glass ,Gift of H. Medil Sarkisain and Mrs. Justine Sarkisian Rodriguez- 2008.18.02.04,------------,1
Unknown,------------,Roman Empire,------------,Double unguentarium,Fourth-Fifth century CE,Glass ,Gift of H. Medil Sarkisain and Mrs. Justine Sarkisian Rodriguez- 2008.18.02.18,------------,1
Unknown,------------,Roman Empire,------------,Unguentarium,Late first century CE,Glass ,Gift of H. Medil Sarkisain and Mrs. Justine Sarkisian Rodriguez- 2008.18.02.09,------------,1
Unknown,------------,Roman Empire,------------,Unguentarium,First century CE ,Glass ,Gift of H. Medil Sarkisain and Mrs. Justine Sarkisian Rodriguez- 2008.18.02.08,------------,1
Unknown,------------,Roman Empire,------------,Candlestick unguentarium,Second century CE,Glass ,Gift of H. Medil Sarkisain and Mrs. Justine Sarkisian Rodriguez- 2008.18.02.10,------------,1
Unknown,------------,Roman Empire,------------,Jug,Third century CE,Glass ,Gift of H. Medil Sarkisain and Mrs. Justine Sarkisian Rodriguez- 2008.18.02.12,------------,1
Unknown,------------,Roman Empire,------------,Ribbed bowl,First century CE ,Glass ,Gift of H. Medil Sarkisain and Mrs. Justine Sarkisian Rodriguez- 2008.18.02.05,------------,1
Unknown,------------,Roman Empire,------------,Pyriform unguentarium,Third century CE,Glass ,Gift of H. Medil Sarkisain and Mrs. Justine Sarkisian Rodriguez- 2008.18.02.11,------------,1
Unknown,------------,Roman Empire,------------,Funnel-mouthed flask,Late first century CE,Glass ,Gift of H. Medil Sarkisain and Mrs. Justine Sarkisian Rodriguez- 2008.18.02.07,------------,1
Unknown,------------,Roman Empire,------------,Sprinkler,Third century CE,Glass ,Gift of H. Medil Sarkisain and Mrs. Justine Sarkisian Rodriguez- 2008.18.02.14,------------,1
Unknown,------------,Roman Empire,------------,Arballos,Third-Fourth century CE,Glass ,Gift of H. Medil Sarkisain and Mrs. Justine Sarkisian Rodriguez- 2008.18.02.15,------------,1
Unknown,------------,Crete,------------,Early Minoan Pyxis,c. 2700 BCE,Earthenware,Gift to the University of Colorado Classics Department; Transfer University of Colorado Museum of Natural History; Transfer University of Colorado Art Museum 2006.38ab,------------,1
Unknown,------------,Mycenaean Greece,------------,Squat Jar,c. 1400-1375 BCE,Slip-glazed ceramic,Gift to the University of Colorado Classics Department; Transfer University of Colorado Museum of Natural History; Transfer University of Colorado Art Museum 2006.24,------------,1
Unknown,------------,Mycenaean Greece,------------,Stirrup Jar,Late Helladic III A:2 c. 1374-1300 BCE,Slip-glazed ceramic,Gift to the University of Colorado Classics Department; Transfer University of Colorado Museum of Natural History; Transfer University of Colorado Art Museum 2006.22,------------,1
Unknown,------------,Cyprus,------------,Juglet,950-850 BCE,Slip-glazed ceramic,Gift to the University of Colorado Classics Department; Transfer University of Colorado Museum of Natural History; Transfer University of Colorado Art Museum 2006.26,------------,1
Unknown,------------,Boeotia,------------,Single-handled cup,c. 700-650 BCE; Late Geometric Period,Slipped clay,Gift of Hazel E. Barnes and Doris J. Schwalbe; 2011.10.25,------------,1
Unknown,------------,Corinth,------------,Alabastron,c. 570 BCE,Hand-painted clay,Gift to the University of Colorado Classics Department; Transfer University of Colorado Museum of Natural History; Transfer University of Colorado Art Museum 2006.34,Starting in the Archaic Period the Greek city-state of Corinth established colonies in Sicily and Southern Italy. Corinth exported olive oil for cosmetic and culinary uses to their colonies in small vessels shaped like this alabastron (c. 615-590 BCE). The alabastron is decorated in the Orientalizing style with rosettes and a sphynx. While the decoration shows influences from the Near East the shape is modeled after Egyptian vessels made of alabaster which gives the vessel its name.,1
Unknown,------------,Anatolia ,------------,Alabastron,6th century BCE,Alabaster,Gift to the University of Colorado Classics Department; Transfer University of Colorado Museum of Natural History; Transfer University of Colorado Art Museum 2006.33,------------,1
Unknown,------------,Boeotia,------------,Kyathos,6th century BCE,Slipped terrecotta,Gift to the University of Colorado Classics Department; Transfer University of Colorado Museum of Natural History; Transfer University of Colorado Art Museum 2008.06,------------,1
Unknown,------------,Corinth,------------,Skyphos,c. 550-500 BCE,Slipped glazed ceramic,Gift to the University of Colorado Classics Department; Transfer University of Colorado Museum of Natural History; Transfer University of Colorado Art Museum 2006.19,------------,1
Unknown,------------,Athens,------------,Kylix,c. 450 BCE,Slip-glazed ceramic,Gift to the University of Colorado Classics Department; Transfer University of Colorado Museum of Natural History; Transfer University of Colorado Art Museum 2006.35,The kylix was the most common type of wine cup n Ancient Greece. The word comes from its cognate with Latin calix the source of the English word "chalice. CUAM's kylix (2006.35) is an undecorated black gloss vessel that represents the type of decoration used for the majority of pottery that circulated in the ancient world. More ornate kylikes were typically decorated with scenes related to mythology or the symposium. The shallow bowl of the kylix is specifically designed to ease drinking while reclining on one's side during a symposium. The wide handles also allow the symposiasts to play kottabos a drinking game wherein players help one handle of the kylix with their pointer finger swinging the vessel to fling dregs of wine at each other.,1
Unknown,------------,Southern Italy,------------,Corinthian imitation style pottery [Cruet],6th century BCE,Hand painted ceramic ,Gift of Dr. Ann C. and Professor Emeritus John M. Prosser- 2009.09.07,------------,1
Unknown,------------,Attica,------------,Black figure lekythos,400-350 ceramic,Slip-glazed ceramic,Gift to the University of Colorado Classics Department; Transfer University of Colorado Museum of Natural History; Transfer University of Colorado Art Museum 2006.25,In the Classical period the most common shape for perfumed-oil vessels was the Lekythos. These vessels primarily held perfumed oil sprinkled during funerary rituals to cover the smell of the deceased. While CUAM's lekythos measures 6 1/4 inches tall the interior space was only as wide as the neck and extended only an inch below the shoulder of the vessel. Because of this funerary association lekythoi- created in monumental scale and devoid of their original function - became popular as grave markers when large elaborate stone makers went out of fashion during the Early and High Classical periods.,1
Unknown,------------,Athens,------------,Red figure lekythos,c. 425-300 BCE,Slip-glazed ceramic,Gift to the University of Colorado Classics Department; Transfer University of Colorado Museum of Natural History; Transfer University of Colorado Art Museum 2006.18,------------,1
Unknown,------------,Attica,------------,Cup kantharos,Fourth century BCE,Slip-glazed ceramic,Gift to the University of Colorado Classics Department; Transfer University of Colorado Museum of Natural History; Transfer University of Colorado Art Museum 2006.21,------------,1
Unknown,------------,Southern Italy,------------,Apulian-style Pelike,c. 350-320 BCE ,Hand-painted ceramic,Gift to the University of Colorado Classics Department; Transfer University of Colorado Museum of Natural History; Transfer University of Colorado Art Museum 2006.15,------------,1
Unknown,------------,Peloponnese,------------,Mould-made Relief Bowl,c. 150 BCE,Ceramic,Gift to the University of Colorado Classics Department; Transfer University of Colorado Museum of Natural History; Transfer University of Colorado Art Museum 2006.14,------------,1
Sol,Lewitt,American,(1928-2007),Plate 10 from Work From Instructions,1971,Lithograph printed in four colors,Gift of Polly and Mark Addison to the Polly and Mark Addison Collection- 2003.05.10,At first glance this piece appears dense and disorganized but it is the result of an orderly process. Printed below the image is a set of instructions given by Sol Lewitt to students at the Nova Scotia College of Art and Design who created the lithographs. This separation of artistic concept and execution into two groups of individuals introduces a tension around control.,1
Daniel,Buren,French,(b. 1938),One thousand Placements,1976,Rubber stamp and pigment,Gift of Polly and Mark Addison to the Polly and Mark Addison Collection- 91.04.50.03,This sheet is one part of an artwork composed of 1000 sheets of paper imprinted with rubber stamps. The artist's instructions indicate that the stamped pages should be arranged to cover four walls of a room.,1
Daniel,Buren,French,(b. 1938),Repertoire,1998,Artist's books with colored papers and mylar,Gift of Polly and Mark Addison to the Polly and Mark Addison Collection- 2006.41.111,In this artist's book Danile Buren experiments with layering and sequence of the pages to frame combinations of forms and colors. New shapes and compositions are revealed every time a page is turned. The cutouts seen here accumulate to reveal variations of simple figure.,1
Dieter,Roth,German,(1930-98),Two Bilderbucher (2 picture books),1976,Offset print on die cut paper ,------------,The reader activates the book by turning the pages with each turn revealing new compositions as the pattern grid shifts and flickers.,1
Josef,Albers,American born Germany,(1888-1976),Interaction of Color: XXIV-1 1963,Screen print in color,Gift of Polly and Mark Addison to the Polly and Mark Addison Collection- 2010.09.01,------------,1
Josef,Albers,American born Germany,(1888-1976),Interaction of Color: VIII-2 1963,Screen print in color,Gift of Polly and Mark Addison to the Polly and Mark Addison Collection- 2010.09.01,------------,1
Josef,Albers,American born Germany,(1888-1976),Interaction of Color: V-1 1963,Screen print in color,Gift of Polly and Mark Addison to the Polly and Mark Addison Collection- 2010.09.01,------------,1
Callum,Ines,Scottish,(b. 1962),Exposed Painting Cadmium Orange,1996,Oil paint canvas,Gift of Polly and Mark Addison to the Polly and Mark Addison Collection- 2016.03.01,This work is composed of three fields of color delineated with black paint and primer white paint and primer and stain.,1
Gunther,Gerszo,Mexican,(1915-2000),Dama Huasteca,1989,Etching in color,Gift of Polly and Mark Addison to the Polly and Mark Addison Collection- 2006.41.32.10,Gunther Gerszo created this painting in response to Octavio Paz's 1949 poem Dama Huasteca. The poem evokes the myth founding of Mexico City and refers to indigenous Mesoamerican cultures. ,1
Angela,de la Cruz,Spanish,(b. 1965),Untitled Red,1999,Oil; paint; canvas; wood; wire,Gift of Polly and Mark Addison to the Polly and Mark Addison Collection- 2010.09.08,Angela de la Cruz directs the viewers' attention to the parts of the painting that are usually hidden in this case the oversized wooden canvas stretcher and hanging wires.,1
Trine,Bumiller,American,(b. 1959),Glacier Project,2019,Fourteen chiffon panels; alluminum bars,Loan courtesy of Trine Bumiller and Robischon Gallery,The chifon panels are arranged to suggest a path leading to a semicircular ampitheater. Bumiller has described the project - and the difficult hikes she made to the glaciers - as a pilgramige. ,3
Trine,Bumiller,American,(b. 1959),Studies for Glacier Project,2018,Ten watercolors on paper,Loan courtesy of Trine Bumiller and Robischon Gallery,Sketches made on the spot reference photography and studies made in the studio informed Bumiller's observation. Bumiller hiked to each of the galcier depicted in the watercolor drawings.,3
Khvay,Samnang,Cambodian,(b. 1982),Rubber Man,2014-15,Three-channel HD videos running time: 04:24,Loan curtesy of the artisit ,Economic demands often clash with environmental foresight. In this performance Khvay addresses rubber plantations in northeast Cambodia the destruction of biodiverse habitats and the impact on ways of living for local peoples.,3
Unknown,------------,------------,------------,Western Landscape,late 1800's,Oil on canvas,Purchase- 69.387.01,------------,2
Charles,Adams,American,(1858-1942),Sunrise on the Mountains at the Head of Moraine Park Near Estes Park,1920,Oil on canvas,Gift of Philip Albert and Charles P. Adams Jr. sons of the late Charles Partridge Adams- 86.182,------------,2
Charles,Adams,American,(1858-1942),Mountain Scene,1920-25,Oil on canvas,Gift of Lorrine Pickett- 53.13.02,------------,2
Meghan,Wilbar,------------,------------,Sunflower Summer,2015,Oil on wood panel,Purchase with the Carnegie Fund- 2018.03.03,------------,2
Muriel,Wolle,American,(1898-1977),Upper Levels Black Hawk,1942,Black crayon over pencil on pare,Transfer from the Chancellor's Office- 88.08.06,------------,2
Muriel,Wolle,American,(1898-1977),Ghosts Nevadaville,1943,Black crayon over pencil on pare,Transfer from the Chancellor's Office- 88.08.04,------------,2
Muriel,Wolle,American,(1898-1977),Potosi Mine Office,1944,Black crayon over pencil on pare,Transfer from the Chancellor's Office- 88.08.061,------------,2
Muriel,Wolle,American ,(1898-1977),Main Street Apex: Mount Evans in the Distance,1933,Black crayon over pencil on pare,Transfer from the Chancellor's Office- 88.08.02,------------,2
Muriel,Wolle,American,(1898-1977),Approach to Victor,Not dated,Black crayon over pencil on pare,Gift of Alice Higman Reich- 2010. 15,------------,2
Elmer,Green,American,(1863-92),Boulder Falls,1891,Oil on canvas,Gift of Mrs. Myrtle Lyon Lombard and Mrs. Olive Sosey hoge from the collection of Winnie Mary Hamm Sosey- 69.404.01,Elmer P. green's painting depicts the falls from below a perspective that conveys dramatic angels of the river and foregrounds the rushing water. As evidenced by the nearby photograph taken around the same time as Green's painting the view was frequently depicted.,2
Pearl,Turner,American,------------,Colorado Mt. Club Third Annual Outing.,1914,Photograph,Loan from Pearl V. Turner Collection,Pearl V. Turner alumna of the University of Colorado was an avid mountaineer and early member of the Colorado Mountain Club. She climbed most of Colorado's 14ers and many of the peaks in the Pacific Northwest.,2
Isabella,Bird,British,(1831-1904),A Lady's Life in the Rocky Mountains,Not dated,Photograph's,Loan from Mountaineering Collections- Special Collections,When bird arrived in the rockies she was an established world traveler having already explored America and the Pacific Islands. A lady's Life in the Rocky Mountains offers a firsthand look at this remarkable undertaking for a woman of somewhat modest means.,2
Dwight,Lavender,American,(1911-1934),Climbs and Trips in the Colorado Rockies during the Summer of 1931,Not dated,Photograph's,Loan from the Dwight Garrigues Lavender Collection,Building on the adventure-driven activities of 19th century mountaineers mountaineer and author Dwight Lavender began exploring the San Juan mountains in 1929. His climbs importantly provided an accurate survey of peaks in the San Juan range.,2
Trine,Bumiller,American,(b. 1959),Four Sketchboooks,Not dated,Pen &ink on paper,Loan courtesy of Trine Bumiller and Robischon Gallery,------------,2
Susan,Campbell,American,(b. 1956),Heat 2,2018,Woodcut on solid paper,2018.08.01,------------,2
Susan,Campbell,American,(b. 1956),Heat 3,2018,Woodcut on solid paper,2018.08.02,Campbell is concerned with urban heat islands where manmade structures impact the temperature and create microclimates that have the potential to change weather patterns.,2
